Hostname,Last Seen,First Seen,Platform,OS Version,OS Build,OS Product Name,Kernel Version,Model,Manufacturer,Type,Chassis,OU,Site,Prevention Policy,Response Policy,Sensor Update Policy,USB Device Policy,Host ID,Local IP,Connection IP,Default Gateway IP,External IP,Domain,MAC Address,Connection MAC Address,Status,CPUID,Serial Number,Sensor Version,Sensor Tags,Cloud Service Provider,Cloud Service Account ID,Cloud Service Instance ID,Cloud Service Zone/Group,RFM,Deployment Type,Email,Pod ID,Pod Name,Pod Namespace,Pod Labels,Pod Annotations,Pod IP4,Pod IP6,Pod Hostname,Pod Host IP4,Pod Host IP6,Pod Service Account Name,Host Groups
5420-F3K2VQ3,2023-05-02T17:35:38Z,2022-08-13T00:36:59Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RD,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:34 UTC","Full Response - Base
13 Aug 22 00:45 UTC","Windows Workstations N-1
29 Mar 23 12:18 UTC","Monitor - TCB - Base
29 Mar 23 12:14 UTC",1561f8b3c6cc4cf39c815bcf94078074,10.161.130.95,10.161.130.95,192.168.1.1,63.98.103.65,tcbna.net,00-05-9a-3c-7a-00,00-05-9a-3c-7a-00,normal,526017,F3K2VQ3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-9ZWVBK3,2023-05-02T17:23:52Z,2022-06-25T03:13:08Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2604,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,SB,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:20 UTC","Full Response - Base
25 Jun 22 03:21 UTC","Windows Workstations N-1
29 Mar 23 14:15 UTC","Monitor - TCB - Base
13 Apr 23 16:01 UTC",ce6596808d0b4f98b716e0c8ad202e6c,10.10.90.50,10.10.90.50,10.10.90.1,63.98.103.74,tcbna.net,a0-29-19-c5-09-a9,a0-29-19-c5-09-a9,normal,526017,9ZWVBK3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-6P6D9K3,2023-05-02T17:11:22Z,2022-09-20T03:21:12Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RD,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:35 UTC","Full Response - Base
20 Sep 22 03:28 UTC","Windows Workstations N-1
29 Mar 23 02:32 UTC","Monitor - TCB - Base
14 Apr 23 08:04 UTC",d07af145dcbe4c1fba16389a9bb49eed,10.161.128.212,10.161.128.212,192.168.12.1,172.58.103.70,tcbna.net,00-05-9a-3c-7a-00,00-05-9a-3c-7a-00,normal,526017,6P6D9K3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
3561-2Z97LG3,2023-05-02T17:26:28Z,2022-02-28T17:25:48Z,Windows,Windows 10,19045,Windows 10 Enterprise,10.0.19045.2846,Precision 3561,Dell Inc.,Workstation,Laptop,Workstations,RL,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:34 UTC","Full Response - Base
28 Feb 22 17:33 UTC","Windows Workstations N-1
29 Mar 23 15:31 UTC","Monitor - TCB - Base
13 Apr 23 05:25 UTC",ff75842706454c2eb67ca8e14ffce8cb,10.132.150.62,10.132.150.62,10.132.244.1,63.98.103.65,tcbna.net,b4-45-06-2a-05-98,b4-45-06-2a-05-98,normal,526033,2Z97LG3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-30QSBK3,2023-05-02T17:33:24Z,2022-12-20T20:43:06Z,Windows,Windows 10,19045,Windows 10 Enterprise,10.0.19045.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,DM,"TCB - Workstation Prevent Dynamic 
30 Apr 23 15:55 UTC","Full Response - Base
20 Dec 22 20:50 UTC","Windows Workstations N-1
29 Mar 23 13:38 UTC","Monitor - TCB - Base
20 Dec 22 20:57 UTC",2facf59c61e14badabb37e40ec0e1e1f,10.177.130.184,10.177.130.184,192.168.1.254,69.148.5.154,tcbna.net,00-05-9a-3c-7a-00,00-05-9a-3c-7a-00,normal,526017,30QSBK3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-B2J5BK3,2023-05-02T17:25:12Z,2022-09-20T03:58:22Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RL,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:24 UTC","Full Response - Base
20 Sep 22 04:05 UTC","Windows Workstations N-1
29 Mar 23 13:54 UTC","Monitor - TCB - Base
13 Apr 23 21:26 UTC",5bc2ecd98e8e49f981e053034c894456,10.132.248.155,10.132.248.155,10.132.248.1,63.98.103.65,tcbna.net,d4-54-8b-60-94-6f,d4-54-8b-60-94-6f,normal,526017,B2J5BK3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-8S8R5D3,2023-05-02T17:17:29Z,2023-01-24T01:42:37Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,DM,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:27 UTC","Full Response - Base
24 Jan 23 01:51 UTC","Windows Workstations N-1
29 Mar 23 13:26 UTC","Monitor - TCB - Base
28 Mar 23 19:48 UTC",2ba53ac7c59b428f9021f656eb1ee7a2,10.128.252.89,10.128.252.89,10.128.252.1,63.98.103.66,tcbna.net,dc-21-5c-bd-9a-7f,dc-21-5c-bd-9a-7f,normal,526017,8S8R5D3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-BW8R5D3,2023-05-02T17:17:52Z,2022-06-14T22:43:52Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RL,"TCB - Workstation Prevent Dynamic 
01 May 23 12:39 UTC","Full Response - Base
14 Jun 22 22:52 UTC","Windows Workstations N-1
29 Mar 23 13:01 UTC","Monitor - TCB - Base
29 Mar 23 20:05 UTC",373198a952834adebcf511d1b930b8a1,10.132.248.72,10.132.248.72,10.132.248.1,108.222.99.228,tcbna.net,f4-4e-e3-f8-ad-c2,f4-4e-e3-f8-ad-c2,normal,526017,BW8R5D3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-7PQVBK3,2023-05-02T17:37:55Z,2023-04-26T16:31:44Z,Windows,Windows 10,19045,Windows 10 Enterprise,10.0.19045.2846,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RL,"TCB - Workstation Prevent Dynamic 
01 May 23 15:07 UTC","Full Response - Base
26 Apr 23 16:40 UTC","Windows Workstations N-1
26 Apr 23 16:42 UTC","Monitor - TCB - Base
26 Apr 23 16:42 UTC",71b238b516254050b8b7370f034909d9,10.128.89.76,10.128.89.76,10.128.89.1,63.98.103.65,tcbna.net,a0-29-19-44-cf-7a,a0-29-19-44-cf-7a,normal,526017,7PQVBK3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-4JT5SQ3,2023-05-02T17:30:49Z,2022-08-27T00:11:35Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RL,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:26 UTC","Full Response - Base
27 Aug 22 00:15 UTC","Windows Workstations N-1
29 Mar 23 13:18 UTC","Monitor - TCB - Base
27 Aug 22 00:19 UTC",75f783fab51d4151b083d72c31a83172,192.168.1.19,10.177.131.61,192.168.1.1,97.99.198.237,tcbna.net,2c-33-58-ed-8e-c4,00-05-9a-3c-7a-00,normal,526017,4JT5SQ3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-6TRB9K3,2023-05-02T17:23:04Z,2022-01-31T01:28:47Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RD,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:50 UTC","Full Response - Base
31 Jan 22 01:31 UTC","Windows Workstations N-1
29 Mar 23 12:35 UTC","Monitor - TCB - Base
31 Jan 22 02:00 UTC",b7002fcc88ab4dcea9a535320278646d,10.10.142.34,10.10.142.34,10.10.142.1,63.98.103.64,tcbna.net,a0-29-19-c2-bf-d1,a0-29-19-c2-bf-d1,normal,526017,6TRB9K3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-71L2VQ3,2023-05-02T17:27:02Z,2022-10-13T00:45:11Z,Windows,Windows 10,19045,Windows 10 Enterprise,10.0.19045.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RD,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:18 UTC","Full Response - Base
13 Oct 22 00:53 UTC","Windows Workstations N-1
29 Mar 23 14:05 UTC","Monitor - TCB - Base
13 Oct 22 00:53 UTC",07962a106f5246c586a9c0d1766d84c3,10.10.141.30,10.10.141.30,10.0.0.1,73.115.74.235,tcbna.net,cc-96-e5-9b-68-18,cc-96-e5-9b-68-18,normal,526017,71L2VQ3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-CNB5BK3,2023-05-02T17:37:24Z,2022-01-18T00:26:00Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RL,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:29 UTC","Full Response - Base
18 Jan 22 00:27 UTC","Windows Workstations N-1
29 Mar 23 12:55 UTC","Monitor - TCB - Base
13 Apr 23 21:28 UTC",40154fb71e7e4ccca76bfc81d312f4f5,10.132.162.65,10.132.162.65,10.132.162.1,63.98.103.65,tcbna.net,a0-29-19-c5-03-2b,a0-29-19-c5-03-2b,normal,526017,CNB5BK3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-35RB9K3,2023-05-02T17:22:11Z,2021-12-27T22:03:50Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,DM,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:21 UTC","Full Response - Base
27 Dec 21 22:04 UTC","Windows Workstations N-1
29 Mar 23 03:18 UTC","Monitor - TCB - Base
27 Dec 21 22:12 UTC",9cdd76169c754f69a6c09fada3f8374f,10.128.90.20,10.128.90.20,10.128.252.1,63.98.103.66,tcbna.net,a0-29-19-c4-9b-6c,a0-29-19-c4-9b-6c,normal,526017,35RB9K3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-J076BK3,2023-05-02T16:39:08Z,2022-02-28T23:54:13Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RD,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:22 UTC","Full Response - Base
01 Mar 22 00:02 UTC","Windows Workstations N-1
29 Mar 23 02:10 UTC","Monitor - TCB - Base
13 Apr 23 14:50 UTC",c00d597988924faeb6a173c2dd400620,172.20.10.5,10.177.131.55,192.168.254.254,47.187.224.71,tcbna.net,d4-54-8b-61-45-d1,00-05-9a-3c-7a-00,normal,526017,J076BK3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-7Y9S5D3,2023-05-02T17:32:01Z,2021-11-23T17:51:48Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RL,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:34 UTC","Full Response - Base
01 Dec 21 14:35 UTC","Windows Workstations N-1
29 Mar 23 14:59 UTC","Monitor - TCB - Base
23 Nov 21 18:06 UTC",93741c2524674898a47ca47db1380195,10.132.244.74,10.132.244.74,10.132.244.1,63.98.103.65,tcbna.net,f4-4e-e3-f8-11-d7,f4-4e-e3-f8-11-d7,normal,526017,7Y9S5D3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-HSKB9K3,2023-05-02T17:35:57Z,2022-02-05T17:13:18Z,Windows,Windows 10,19045,Windows 10 Enterprise,10.0.19045.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RL,"TCB - Workstation Prevent Dynamic 
01 May 23 13:11 UTC","Full Response - Base
05 Feb 22 17:15 UTC","Windows Workstations N-1
29 Mar 23 02:36 UTC","Monitor - TCB - Base
27 Apr 23 02:27 UTC",da41c51796694f8fa138a439a5366d8b,10.161.130.149,192.168.68.72,192.168.68.1,76.192.100.208,tcbna.net,00-05-9a-3c-7a-00,d4-54-8b-62-10-65,normal,526017,HSKB9K3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5090-JCD95K3,2023-05-02T17:37:21Z,2022-04-19T22:18:59Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,OptiPlex 5090,Dell Inc.,Workstation,Desktop,Workstations,RL,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:18 UTC","Full Response - Base
19 Apr 22 22:26 UTC","Windows Workstations N-1
29 Mar 23 01:29 UTC","Monitor - TCB - Base
13 Apr 23 14:37 UTC",43c31ca678f54120bdda0b6cf04c67bc,10.132.150.47,10.132.150.47,10.132.150.1,63.98.103.65,tcbna.net,a4-bb-6d-93-83-de,a4-bb-6d-93-83-de,normal,656981,JCD95K3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-D9GQ3M3,2023-05-02T17:17:33Z,2022-03-24T15:13:48Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.1889,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,DM,"TCB - Workstation Prevent Dynamic 
01 May 23 14:30 UTC","Full Response - Base
24 Mar 22 15:21 UTC","Windows Workstations N-1
29 Mar 23 15:07 UTC","Monitor - TCB - Base
24 Mar 22 15:21 UTC",e7a3c40714944de68810809782fc86e0,10.128.120.27,10.128.120.27,10.128.248.1,63.98.103.66,tcbna.net,a0-29-19-6d-23-1c,a0-29-19-6d-23-1c,normal,526017,D9GQ3M3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-48LWBK3,2023-05-02T17:02:07Z,2022-02-15T21:57:55Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,HP,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:28 UTC","Full Response - Base
15 Feb 22 22:00 UTC","Windows Workstations N-1
29 Mar 23 13:38 UTC","Monitor - TCB - Base
13 Apr 23 16:01 UTC",6b42624a334d44f99342098416da21ac,10.10.130.46,10.10.130.46,10.132.244.1,63.98.103.76,tcbna.net,a0-29-19-c5-09-ed,a0-29-19-c5-09-ed,normal,526017,48LWBK3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-3FR7BK3,2023-05-02T17:22:09Z,2023-01-24T01:43:59Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RD,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:25 UTC","Full Response - Base
24 Jan 23 01:53 UTC","Windows Workstations N-1
29 Mar 23 04:10 UTC","Monitor - TCB - Base
29 Mar 23 06:38 UTC",dec59aa99feb48ee853160dd31700746,10.132.122.11,10.132.122.11,10.132.248.1,35.147.24.116,tcbna.net,a0-29-19-c1-f1-60,a0-29-19-c1-f1-60,normal,526017,3FR7BK3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-3J15SQ3,2023-05-02T17:27:45Z,2022-08-31T02:29:43Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,FT,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:23 UTC","Full Response - Base
31 Aug 22 02:38 UTC","Windows Workstations N-1
29 Mar 23 12:55 UTC","Monitor - TCB - Base
13 Apr 23 14:42 UTC",43a4ccd0499e483bb5f4cd9fa5040179,10.10.34.62,10.10.34.62,10.10.34.1,63.98.103.72,tcbna.net,cc-96-e5-9b-68-9f,cc-96-e5-9b-68-9f,normal,526017,3J15SQ3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
